"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
125707,103,0,0,1,0,3,0,0,0
125851,103,0,0,0,0,0,0,0,0
125923,103,2,7,14,0,0,0,0,0
125962,103,0,22,3,1,0,0,0,0
128754,103,0,25,16,0,0,0,0,0
129434,103,0,10,30,0,0,0,0,0
133250,103,0,3,0,0,5,0,0,0
133470,103,0,8,25,0,0,0,0,0
133836,103,0,0,0,0,0,0,0,0
135335,103,0,46,0,0,0,0,0,0
135818,103,0,9,0,0,0,0,0,0
136290,103,3,25,0,0,0,0,0,1
139056,103,3,0,4,0,1,0,0,6
140132,103,0,13,2,0,2,0,0,0
140402,103,0,25,0,0,10,18,0,0
141773,103,0,1,17,0,2,0,0,0
142674,103,0,44,12,1,6,4,0,0
142883,103,0,0,3,0,22,0,0,6
144042,103,17,14,11,0,0,0,0,1
147267,103,0,9,0,0,0,0,0,0
149609,103,0,3,19,0,1,5,0,9
117901,102,3,9,0,0,0,21,0,0
118171,102,0,10,0,0,0,1,0,0
120036,102,1,8,16,0,0,1,9,1
120513,102,0,11,13,0,0,4,0,0
120669,102,0,7,3,0,0,0,0,0
120751,102,0,7,0,0,0,0,0,0
122924,102,11,2,7,0,0,2,0,1
123731,102,0,0,1,0,5,0,0,0
124263,102,0,4,3,0,5,0,0,7
124444,102,0,5,19,0,0,0,0,0
124506,102,0,23,0,0,0,0,0,0
124732,102,0,23,13,0,0,0,0,0
125107,102,0,21,0,0,0,0,0,0
125417,102,0,7,1,0,8,8,0,0
127796,102,0,0,0,23,0,0,0,0
129488,102,0,50,4,2,2,0,0,0
129776,102,0,48,23,0,0,2,0,1
129912,102,0,17,22,1,3,7,0,0
130535,102,0,32,9,0,1,0,0,0
131576,102,0,46,0,0,3,0,0,0
133994,102,0,2,27,0,5,1,0,0
135395,102,0,0,0,4,0,0,0,0
138601,102,0,44,5,0,0,0,0,0
141976,102,0,1,0,0,0,0,0,9
144976,102,0,9,12,0,0,0,0,0
145365,102,0,5,20,0,0,0,0,0
148909,102,0,0,6,0,0,0,0,0
113746,101,0,13,1,0,0,0,0,0
115766,101,3,17,0,0,0,0,0,0
116828,101,0,0,0,0,0,0,0,15
118214,101,0,7,0,0,0,0,0,3
119086,101,0,13,8,0,0,0,0,0
119293,101,0,3,5,1,0,0,0,0
122034,101,0,6,15,0,0,1,0,0
122937,101,0,0,0,0,0,0,0,0
124528,101,0,0,10,0,0,0,0,0
125616,101,0,10,6,0,0,0,0,0
125670,101,0,9,17,0,0,0,0,0
125995,101,0,10,0,0,0,0,0,0
126071,101,0,15,0,0,0,0,0,0
126612,101,0,5,12,0,0,0,0,29
127408,101,0,0,0,0,0,0,0,0
127985,101,0,10,0,0,0,0,0,0
129612,101,0,0,20,0,1,0,0,1
132271,101,1,3,0,6,0,4,0,0
132772,101,0,1,7,0,1,3,0,0
133111,101,0,1,4,0,1,0,0,1
137388,101,8,5,6,1,0,17,0,2
137734,101,0,2,0,0,0,3,0,0
138927,101,0,3,16,0,0,1,0,0
139028,101,0,3,0,1,1,0,0,11
141672,101,0,2,1,0,0,0,0,0
143142,101,0,5,0,0,0,0,0,0
144521,101,0,5,10,0,0,0,0,0
144876,101,0,28,10,0,0,0,2,8
114643,100,0,9,0,0,1,0,0,0
114768,100,0,5,0,0,0,0,0,0
116204,100,0,0,0,1,0,3,0,0
117480,100,0,50,0,0,0,0,0,0
117534,100,0,10,6,0,1,0,0,0
118520,100,0,10,0,0,0,0,0,0
118635,100,3,0,35,0,4,1,0,1
120660,100,0,38,0,0,0,0,0,0
121776,100,0,0,4,1,0,0,0,3
122512,100,10,7,5,0,0,0,0,3
124276,100,1,27,5,0,0,1,0,0
124860,100,0,11,0,0,0,0,0,0
125413,100,0,3,20,0,0,5,0,0
125421,100,0,0,22,0,7,1,0,7
127430,100,0,17,0,0,0,0,0,0
127951,100,0,20,0,0,0,0,0,0
130045,100,0,26,10,0,0,0,0,0
131841,100,0,0,11,0,0,0,0,0
133524,100,0,43,11,0,0,1,0,0
133710,100,0,0,7,0,0,3,0,0
133874,100,0,4,36,0,3,2,0,0
134515,100,0,0,0,0,1,0,0,0
134631,100,2,15,21,0,0,1,0,4
137049,100,0,2,0,0,0,1,0,0
137580,100,0,7,3,0,0,0,0,0
138582,100,0,30,8,0,5,5,0,0
140643,100,0,13,0,0,0,1,0,0
143711,100,3,6,0,0,0,0,0,1
144074,100,1,0,0,0,3,0,0,0
144284,100,0,7,0,4,0,0,0,0
147012,100,0,3,1,0,6,0,0,0
147557,100,0,3,1,3,3,0,0,0
149060,100,0,29,0,1,0,0,0,0
149602,100,0,9,10,0,0,3,0,0
112164,99,0,0,5,0,0,0,0,0
113313,99,0,18,0,0,0,0,0,0
115354,99,0,3,10,0,0,0,0,0
115646,99,0,0,0,0,0,16,0,0
115901,99,0,8,1,1,0,3,0,0
117271,99,0,5,2,0,0,0,0,0
118586,99,0,19,0,0,3,0,0,12
120610,99,0,7,2,0,0,0,0,14
121597,99,0,3,2,0,0,0,0,15
122267,99,0,0,1,0,2,7,0,0
122702,99,0,17,9,0,0,0,0,0
123917,99,0,6,0,11,0,0,0,2
124211,99,0,9,22,0,3,0,0,0
126620,99,0,56,1,0,0,0,0,0
